lemma	gloss
medius	in the middle, in the midst, mid, mean, middle
mel	honey
memini	I remember, recollect, think of, am mindful of, bear in mind
mens	the mind, disposition, feeling, character, heart, soul
mensa	a table
mensis	a month
mentior	to invent, assert falsely, lie, cheat, deceive, pretend
merces	price, hire, pay wages, salary, fee, reward
mereo	to deserve, merit, be entitled to, be worthy of
merx	goods, wares, commodities, merchandise
messis	a gathering of crops, harvest
messor	a reaper
metuo	to fear, be afraid, stand in fear, be apprehensive
meus	of me, my, mine, belonging to me, my own
migro	to remove, depart, flit, migrate
miles	a soldier
mille	a thousand, ten hundred
minium	red-lead
miror	to wonder, marvel, be astonished, be amazed, admire
misceo	to mix, mingle, intermingle, blend
miser	wretched, unfortunate, miserable, pitiable, lamentable, in distress
miserabilis	pitiable, miserable, deplorable, lamentable, wretched, sad
misereor	to feel pity, have compassion, pity, compassionate, commiserate
mitesco	to be softened
mitis	mild,  mellow, mature, ripe
mitto	to cause to go, let go, send, send off, despatch
modo1	
modulor	to measure, measure rhythmically, modulate
modus	a measure, extent, quantity; way, manner
mola	a millstone, grindstone
mollis	yielding, pliant, flexible, supple, soft, tender, delicate, gentle, mild,          pleasant
molliter	softly, gently, agreeably
moneo	to remind, put in mind of, admonish, advise, warn, instruct, teach
mons	a mountain, mount, range of mountains
monstrum	a divine omen, supernatural appearance, wonder, miracle, portent
mora	a delay, procrastination
morior	to die, expire
moror1	
mortalis2	
mos	a will, way, habit, manner, fashion, caprice, humor
moto	to keep moving, stir, agitate
mugitus	a lowing, bellowing
mulctra	a milking-pail, milkpail
mulgeo	to milk
multo2	to punish
multum2	
multus	many, a great number
mundus1	
munus	a service, office, post, employment, function, duty
munusculum	a small gift, trifling present
murex	the purple-fish (a prickly shellfish)
murmur	a murmur, murmuring, hum, roar, growling, grumbling,  crash
murus	a wall, city wall
muscosus	full of moss, mossy
muscus	moss
muto2	the penis
myrice	
myrtus	a myrtle,  myrtle-tree
nam	for
namque	I. An explanation, for, and in fact
narcissus	the  narcissus
narro	to make known, tell, relate, narrate, report, recount, set forth
nascor	to be born, begin life, be produced, proceed, be begotten
natalis2	
natus1	
nauta	a sailor, seaman, mariner, boatman
nauticus	of ships,  of sailors, ship-, naval, nautical
ne3	really, indeed (only with pron pers. or demonst.)
ne4	
nec2	
necdum1	
necdum2	
nectar	nectar,  drink of the gods
necto	to bind, tie, fasten, join, fasten together, connect
nego	to say no, deny, refuse
nemus	a tract of woodland, forest pasture, meadow with shade, grove
nepos1	
neque	and not
nescio	not to know, to be ignorant
niger	black, sable, dark, dusky
nihil	nothing
nimium2	
nisi	if not, unless
niueus	
nix	snow
noceo	to do harm, inflict injury, hurt
nodus	a knot
nomen	(a means of knowing,) name, appellation
non	not, by no means, not at all
nonne	interrog. In a direct question, not?  (expecting an affirmative answer)
nos	
nosco	to get knowledge of, become acquainted with, come to know, learn, discern
noster	our, our own, ours, of us
noto	to mark, designate with a mark
notus2	
nouale	
nouellus	
nouerca	
nouus	
nox	night
nubes	a cloud, mist, vapor
nudus	naked, bare, unclothed, stripped, uncovered, exposed
nullus	not any, none, no
numen	a nod; divine will
numero1	
numerus	a number
numquam	at no time, never
nunc	now, at present, at this time
nuper	newly, lately, recently, freshly, not long ago, just
nuto	to nod
nux	a nut
nympha	a bride,  mistress, young woman; nymph, demi-goddess inhabiting water or other natural parts
o	O! oh!
obduco	to draw before, draw forward, bring over
obicio	to throw before, throw to, cast, offer, present, expose
obliuiscor	
obuius	
occido1	
occulto	
occurso	to run to meet, throng before
ociter	
oculus	an eye
odi	to hate
odium	hatred, grudge, ill-will, animosity, enmity, aversion
odor	smell, scent, stench; inkling
offero	to bring before, present, offer, show, exhibit
oleo	to emit a smell, smell of, smell
olim	at that time, some time ago, once upon a time, once, formerly, of old
oliua	
oliuum	
olor1	
omnis	all, every
opacus	in the shade, shaded, shady
oportet	it is necessary, is proper, is becoming, behooves
oppidum	a town, city, collection of dwellings
opus1	
ora	an extremity, border, brim, edge, rim, margin, end, boundary, limit
orbis	a ring, circle, circular path, hoop, orbit; the world
ordo	a row, line, series, order, rank
origo	a beginning, commencement, source, start, descent, lineage, birth, origin
orior	to arise, rise, stir, get up
ornate	ornamentally, ornately, elegantly
ornatus2	splendid dress, fine attire, apparel
ornus	the wild mountain-ash
oro	(to speak;) to treat, argue, plead, to pray, to beg
os2	a bone
otium	leisure, vacant time, freedom from business
ouile	a sheepfold
ouis	Little Jupiter, Anti-Jove, an ancient god of vengeance, identified with Apollo, and with the Jupiter of the lower world
pabulum	food, nourishment, food for cattle, fodder, pasturage, grass
pacatus	pacified, quieted, peaceful, quiet, calm, tranquil, undisturbed
paene	nearly, almost, as I may say
paeniteo	to make sorry, cause to repent
pagina	a leaf of paper, sheet, page
paliurus	a plant,  Christ’sthorn
pallens	pale, wan
palma	the palm,  flat hand
palmes	a young vine-branch, vine-sprig, vine-sprout
palumbes	a woodpigeon, ring-dove
palus2	a swamp, marsh, morass, bog, fen, pool
pampineus	of vine-leaves, of tendrils
papauer	
par2	
paratus2	a preparation, provision, outfit
parco	to act sparingly, be sparing, spare, refrain from, use moderately
parens1	
pareo	to appear (rare); to obey
pario2	to bring forth, bear, give birth, drop, lay, spawn, produce
paro2	to make equal
pars	a part, piece, portion, share, division, section
parturio	to desire to bring forth, be in travail, labor
parum2	
paruus2	
pasco	to cause to eat, feed, supply with food
pascor	see pasco
pascuum	pasture
passim	spread, scattered about far and wide, at different places, generally, in every          direction, at random
pastor	a herdsman, shepherd
pateo	to stand open, lie open, be open
pater	a father, sire
patior	to bear, support, undergo, suffer, endure
patria	a fatherland, native land, own country, native place
patrius	of a father, fatherly, paternal
patulus	spread out, standing open, open, wide
paucus	few, little
paulatim	by little and little, by degrees, gradually
paulo	by a little, a little, somewhat
pauper	poor, not wealthy, of small means
pectus	a breast, breast-bone
peculium	property
pecus	cattle
pecus1	
pecus2	a head of cattle, beast, brute, animal, one of a herd
pellis	hide, skin, leather
pello	to beat, strike, knock, push, drive, hurl, impel, propel
pendeo	to hang, hang down, be suspended
pendo	to suspend, weigh, weigh out; pay; value (w gen)
penitus2	
per	through, across, through the midst of, from side to side of, traversing
percutio	to strike through and through, thrust through, pierce, transfix
perditus	lost, hopeless, desperate, ruined, past recovery
perduco	to lead through, lead, bring, conduct, guide
pereo1	
pererro2	
perficio	to achieve, execute, carry out, accomplish, perform, despatch, bring about,          bring to an end, finish, complete
perfidus1	
pergo	to go on, proceed, press on, hasten, continue, go forward, march, make      haste
peritus	experienced, practised, trained, skilled, skilful, expert
permisceo	to mix together, mix thoroughly, commingle,  intermingle
permitto	to let pass, let go, let loose; to allow, permit
perpetuus	continuous, unbroken, uninterrupted, constant, entire, whole, perpetual
peruenio	
peruersus	
pes	a foot
peto	to strive for, seek, aim at, repair to, make for, travel to
pignus	a pledge, gage, pawn, security, guaranty
pingo	to paint, make by painting
pinguis	fat
pinifer	pinebearing, producing pines
pinus	a pine, pine-tree, fir, firtree
pirus	a pear-tree
piscis	a fish
placeo	to please, give pleasure, be approved, be pleasing, be agreeable, be acceptable,          suit, satisfy
placidus	gentle, quiet, still, calm, mild, peaceful, placid
planta	a sprout, shoot, twig, graft; sole of the foot
plenus	full, filled
pluuia	
poculum	a drinking-vessel, cup, goblet, bowl, beaker
poeniteo	
poeta	a poet
pomum	a fruit, tree-fruit, orchard-fruit
pondus	a weight
pono	to put down, set down, put, place, set, fix, lay, deposit
pontus	the sea
populus1	
populus2	a poplar-tree
possessor	a possessor, owner
possum1	
post1	
post2	behind
posthabes	
posthac	after this, hereafter, henceforth, in future
postis	a post, door-post
postquam	after that, after, as soon as, when
potius	rather, preferable, more
poto	to drink
prae	before, in front
praeceps2	headlong
praecipio	(to take beforehand, get in advance); to warn, to order
praedico2	to say before, premise
praefero	to bear before, carry in front, hold forth
praesaepe	an enclosure, stable, stall, fold, pen
praescribo	to write before, prefix in writing
praesens	at hand, in sight, present, in person
praeterea	in addition, beyond this, further, besides, moreover
praetexo	to weave before, fringe, edge, border
pratia	
pratum	a meadow
premo	to press
presso	to press
pridem	long ago, long since, a long time ago
primum	at first, first, in the first place, in the beginning, before all else
primus	the first, first
principium	a beginning, commencement, origin
prior	former, previous, prior, first
priscus	of former times, of old, olden, ancient, primitive, antique
pro1	
procedo1	
procerus	high, tall, long
procul	in the distance, at a distance, away, apart, far, afar off, from afar
procumbo	to fall forwards, sink down, fall prostrate
produco	to lead forth, lead forward, bring out
proelium	a battle, combat
proficio	to make headway, advance, make progress, have success, profit, succeed, effect,          accomplish
profundus	deep, profound, vast
progenies	descent, lineage, race, family
proicio	to throw forth, cast before, throw out, throw down, throw
promitto	to promise; to let go, put forth, let hang down, let grow
propior	nearer, nigher
proprius	not common with others, own special, several,  individual, peculiar, particular, proper
propter2	near, hard by, next to, close to
proripio	to drag forth; hurry, rush
prosum1	
protinus	right onward, forward, farther on, onward
prunum	a plum
pudor	a shrinking from blame, desire of approval, shame, shamefastness, modesty,          decency, propriety
puella	a female child, girl, maiden, lass
puer	a male child, boy, lad, young man
pulcher	beautiful, beauteous, fair, handsome
puniceus	Punic, Carthaginian
purpureus	purple-colored, purple, dark-red
purus	free from dirt, free from admixture, clean, pure, unstained, unspotted
puto	to believe, reckon; to clean, cleanse, trim, prune
qua	on which side, at which place, in what direction, where, by what way
qua1	
quacumque1	
quadrupes1	
quaero	to seek, look for
qualis1	
quam1	
quam2	
quamquam2	
quamuis1	
quamuis2	
quando1	
quandoquidem	since indeed, since, seeing that
quantum1	
quantum3	
quasso	to shake violently, toss, brandish, wave
quatuor	
que	and
quercus	an oak, oak-tree, Italian oak
queror	to express grief, complain, lament, bewail
qui1	
quicumque1	
quicumque2	
quidem	assuredly, certainly, in fact, indeed
quiesco	to rest, repose, keep quiet, be inactive, be at peace
quin1	
quin3	
quis1	
quis2	any one, anybody, anything, some one, somebody, something
quisquam	any, any one
quisque2	
quisquis1	
quo1	
quo2	see quo, and 2 minus
quo3	in what manner, in what way? how?
quocumque1	
quod1	
quod2	
quondam	at some time, at one time, once, heretofore, formerly, on a time
quoniam	since now, since then, since, seeing that, as, because, whereas
quoque	also, too
quot1	
quotannis	every year, year by year, annually, yearly
quotiens2	
racemus	a bunch, cluster
radius	a staff, rod; ray, beam
ramosus	full of boughs, having many branches, branching, branchy
ramus	a branch, bough, twig
rapidus	tearing away, seizing, fierce
rapio	to seize and carry off, abduct (and rape), snatch, tear, pluck, drag, hurry away
rarus	of loose  texture, thin, rare, not thick
raster	
ratis	a raft, float
raucus	hoarse
recubo	to lie upon the back, lie down, lie back, recline
recuso	to make an objection against, decline, reject, refuse, be reluctant to do
reddo	to give back, return, restore; to render, report, deliver, appoint
redeo1	
refero	to bear back, bring back; report, answer, refer (to the senate)
regno	to have royal power, be king, rule, reign
regnum	kingly government, royal authority, kingship, royalty
rego	to keep straight, lead aright, guide, conduct, direct, control
reicio	to throw back, fling back, hurl back
relinquo	to leave behind, not take along, not stay with, leave, move away from, quit,          abandon
reperio	to find again, find, meet with, find out, discover
repeto	to fall upon again, attack anew, strike again
repono	to put back, set back,  replace, restore
requiesco	to rest, take rest, repose
res	a thing, object, matter, affair, business, event, fact, circumstance,          occurrence, deed, condition, case
resono1	
respicio	to look back, look behind, look about, see behind, look back upon, gaze at, look          for
respondeo	to answer, reply, respond, make answer
responsum	an answer, reply, response
restinguo	to put out, quench, extinguish
rete	a net
reuiso	
rex	an arbitrary ruler, absolute monarch, king
rideo	to laugh
rigidus	stiff, hard, inflexible, rigid
ripa	a bank, margin
risus	a laughing, laughter, laugh
riuus	
robustus	of oak-wood; hard, firm, strong
rogo	to ask, question, interrogate
ros	dew
roscidus	full of dew, wet with dew, dewy
rosetum	a garden of roses, rosebed
rubeo	to be red, be ruddy
rubus	a bramble-bush, blackberrybush
rumino	to chew over again, chew the cud, ruminate
rumpo	to break, burst, tear, rend, rive, rupture, break asunder, burst in pieces,          force open
rupes	a rock, cliff
rursus	(turned back, back, backwards); again, anew
rus	the country, lands, fields, a country-seat, farm,  estate (opp. urbs)
ruscum	
rusticus2	
sacellum	a little sanctuary, small open place consecrated to a divinity, chapel
sacer	dedicated, consecrated, devoted, sacred
sacrum	something consecrated, a holy thing, sacred vessel, sacred utensil, holy place,          sanctuary, temple
saeculum	a race, generation, age, the people of any time
saepe	often, oft, oftentimes, many times, frequently
saepes	a hedge, fence
saepio	to surround with a hedge, hedge in, fence in, enclose
saetosus	full of coarse hairs, bristly, setous
saeuus	
salictum	a plantation of willows, willow-grove
salio1	
saliunca	a scented plant, wild nard
salix	a willow-tree, willow, sallow
saltem	saved, save, at least, at the least, at all events, anyhow
salto	to dance
saltus2	a forest, woodland, untilled mountain land,      forest-pasture, woodland-pasture, thicket, jungle
saluus	
sandyx	a bright  red, vermilion
sanguineus	of blood, consisting of blood, bloody
sanguis	blood
sanus	sound, whole, healthy, well
satis1	
satis2	
satur	full, sated, having eaten enough
saturo	to fill, glut, cloy, satiate
satyrus	a Satyr,  forest-god of the train of Bacchus, with goat’s feet
saxosus	full of rocks, rocky, stony
saxum	a large stone, rough stone, broken rock, boulder, rock
scelus	a wicked deed, heinous act, crime, sin, enormity, wickedness
scio	to know, understand, perceive, have knowledge of, be skilled in
seco	to cut, cut off, cut up, reap, carve
sector2	to follow eagerly, run after, attend, accompany, press upon, follow after,              chase, pursue
secundus2	
sed	but, on the contrary, but also, but even, but in fact
sedeo	to sit
seges	a grainfield
semen1	
semiputatus	half-pruned
semper	ever, always, at all times, continually, perpetually, forever
senex1	
sensus	
sentis	a thorn, thornbush, brier, bramble
senus	
septem	seven
sepulcrum	a place where a corpse is buried, burial-place, grave, tomb, sepulchre
sequor	to follow, come after, follow after, attend, accompany
serius	grave, earnest, serious
sero3	late, at a late hour
serpens	a creeping thing, creeper, crawler, snake, serpent
serpo	to creep, crawl
serpyllum	
sertum	
seruitium	
seruo	
serus	a late time, late hour
seu1	
si2	if ever, if at any time; see quando
sibilus1	
sic	thus, in this way, as I do, as you see
sicco	to make dry, dry, dry up
siccus	dry
sidus	a group of stars, constellation, heavenly body
signum	a mark, token, sign, indication, proof
sileo	to be noiseless, be still, be silent, keep silence, not  speak of, keep silent about, suppress
silex	a hard stone, flint, flint-stone, fire-stone, granite
silua	
siluestris	
similis	like, resembling, similar
simul1	
simul3	
simus	flat-nosed,  snub-nosed
sine	without
sinister	left, on the left, on the left hand, at the left side
sinus	a bent surface, curve, fold, hollow, coil
sitio	to thirst, be thirsty
sitis	thirst
siue2	
socius1	
socius2	a fellow, sharer, partner, comrade, companion, associate
sol	the sun; Sol, the sun god
solatium	
solemnis	
soleo	to use, be wont, be accustomed
sollicitus	thoroughly moved, agitated, disturbed
solor	to comfort, console, solace
solstitium	a standing still of the sun, stoppage of the sun’s motion, solstice
solum1	
solum2	alone, only, merely, barely
soluo	
solus	alone, only, single, sole
somnium	a dream
somnus	sleep
sono1	
sopor	a deep sleep, slumber
sordeo	to be dirty, be mean, be despised, be unvalued, appear worthless
sordidus	dirty, unclean, foul, filthy, squalid, sordid
soror	a sister
spargo2	
spatium	a space, room, extent
specto	to look on, look at, behold, gaze at, watch, observe, inspect, attend
specula1	
spelaeum	a cave,  cavern, den
sperno	to separate; to despise, contemn, reject, scorn, spurn
spero	to hope, look for, trust, expect, promise oneself
spes	hope
spiculum	a little sharp point, sting
spina	a thorn
spinetum	a thorn hedge, thicket of thorns
spiritus	a breathing, breath
spons	free will, accord, impulse, motion
spumo	to foam, froth
stabilis	firm, steadfast, steady, stable, fixed
stabulum	a standing-place, fixed abode
statuo	to cause to stand, set up, set, establish; decide, determine
sterilis	unfruitful, barren, sterile, unproductive
sterno	to spread out, spread abroad, stretch out, extend, strew, scatter
stipula	a stalk, stem, blade, halm
sto	to stand, stand still, remain standing, be upright, be erect
strepo	to make a noise, rattle, rustle, rumble, murmur, hum,  roar
strideo	to make a harsh noise, hiss, whiz
stringo	to draw tight, bind tight, compress, press together
studium	application, assiduity, zeal, eagerness, fondness, inclination, desire,          exertion, endeavor, study
stultus	foolish, simple, silly, fatuous, stupid, dull
stupefacio	to make stupid, strike senseless, benumb, stun, stupefy
stupeo	to be struck senseless, be stunned, be benumbed, be aghast, be astounded, be          amazed, be stupefied
suadeo	to advise, recommend, exhort, urge, persuade
suaue	
suauis	
sub	under, below, beneath, underneath, behind
subduco	to  draw away, take away, lead away, carry off, wrest, withdraw, remove
subeo1	
subicio	to throw under, place under, cast below
subiungo	to fasten under, annex, attach
sublego2	
sublime2	
submitto	
submoueo	
suboles	a sprout, shoot
subsum1	
subterlabor2	
subulcus	a swine-herd
succedo1	
succingo	to gird below, tuck up, gird, gird about, girdle
sucus	a juice, moisture, sap, liquor
sudo	to sweat, perspire
sui1	
sulcus	a furrow
sum1	
sumo	to take, take up, take in hand, lay hold of, assume
super1	
superaddo	to add besides, superadd
superbus2	
supercilium	an eyebrow
supero	to go over, rise above, overtop, surmount, transcend
superuenio	
superuolito	
superus	that is above, upper, higher
suppleo	to fill up, fill out, make full, make good, complete,  supply
sura	the back part of the leg, calf
surdus	deaf
surgo	to rise, arise, get up, stand up
suspendo	to hang up, hang, suspend
suspicio2	mistrust, distrust, suspicion
susurrus	a humming, murmuring, muttering, whispering
suus	of oneself, belonging to oneself, his own, her own, his, her, its, their
tacitus	passed in silence, not spoken of, kept secret, unmentioned
taeda	a resinous pine-tree, pitch-pine; (nuptial) torch, wedding
talis	such, of such a kind, such like, the like
tam	in such a degree, as much, so, so much
tamen	notwithstanding, nevertheless, for all that, however, yet, still
tamquam2	
tango	to touch
tantum1	
tantum2	only, merely
tantus	of such size, of such a measure, so great, such
tardus	slow,  not swift, sluggish, tardy
taurus	a bull, bullock, steer
taxus	a yew, yew-tree
tectum	a covered structure, roofed enclosure, shelter, house, dwelling, abode,      roof
tegimen	a covering, cover
tego	to cover, cover over
tellus	the earth, globe
telum	a missile weapon, missile, dart, spear, shaft, javelin
tempus1	
teneo	to hold, keep, have, grasp, hold fast
tener	soft, delicate, tender, yielding
tento	to handle, touch, feel; try
tenuis	drawn out, meagre, slim, thin, lank, slender
ter	three times, thrice
teres	rounded off, rounded, well-turned, round, smooth
ternus	threefold, triple
tero	to rub, rub away, wear away, bruise, grind, bray triturate
terra	the earth
testis1	
texo	to weave
thiasus	a dance in  honor of Bacchus, Bacchic dance
thymum	thyme (an  herb)
tibia	a large shin-bone, tibia, shin, leg
tigris	a tiger, tigress
timeo	to fear, be afraid, be fearful, be apprehensive, be afraid of, dread,      apprehend
timidus	fearful, afraid, faint-hearted, cowardly, timid
tollo	to lift, take up, raise, elevate, exalt
tondeo	to shear, clip, crop, shave
tornus	a turner’s  wheel, lathe
torqueo	to turn, turn about, turn away, twist, bend, wind
torrens2	a torrent, a stream of words
torridus	dry, dried up, parched, torrid, hot
toruus	
tot	so many, such a number of
totus	all, all the, all at once, the whole, entire, total
trado	to give up, hand over, deliver, transmit, surrender, consign
traduco	convey across
traho	to draw, drag, haul, train along, draw off, pull forth, drag away
trans	across, over, to the farther side of
transuersus	
tremulus3	
tres	three
trhyrsus	
triplex	threefold, triple
tristis	sad, sorrowful, mournful, dejected, melancholy, gloomy, downcast,      disconsolate
triuium	
tu	you
tueor	to look at, gaze upon, behold, watch, view, regard,  consider, examine
tugurium	a hut, cot, cottage
tum	then, at that time, in those times
tumulus	a heap of earth, mound, hill, hillock
turbo2	that which whirls, a whirlwind, hurricane, tornado
turgeo	to swell out, be swollen, be tumid
turpis	ugly, unsightly, unseemly, repulsive, foul, filthy
turtur	a turtle-dove
tus	incense, frankincense
tutus	guarded, safe, secure, out of danger
tuus	thy, thine, your, yours
uacca	a cow
uaccinium	a blueberry, whortleberry
uae	
ualeo	to be strong, be vigorous, have strength, be able
uallis	
uarius	Of color and appearance, variegated, party-colored, mottled, diverse, various
uates	a foreteller, seer, soothsayer, prophet, diviner
uber1	
ubi1	
ubi3	
uector1	
ueho	to bear, carry, convey, draw
uel1	
uel2	or even, if you will, or indeed, even, assuredly, certainly
uello	to pluck, pull, tear away, pull out
uellus	wool shorn off, a fleece
uena	a blood-vessel, vein
uenenum	a strong potion, juice, drug (old)
uenia	indulgence, kindness, grace, favor
uenio	to come
uenor	to hunt, chase
uentosus	full of wind, windy
uenturum	
uentus	wind
uer	the spring
uerbena	a leafy twig, olive-branch, sacred bough (of laurel, olive, myrtle, or cypress, borne by the fetiales)
uerbum	a word
uereor	to fear; to reverence, revere, respect, stand in awe
uero4	
uerso	to turn often, keep turning, handle, whirl about, turn over
uersus1	
uerto	to turn, turn up, turn back, direct
uerum4	
uester	your, yours, of you
uestigium	the bottom of the foot, sole; footprint, trace
uestio	to cover with a garment, provide with clothing, dress, clothe, vest
ueto	not to suffer, not to permit, to oppose, forbid, prohibit
uetus	old, aged, advanced in years
uexo	to shake, jolt, toss violently
uia	a way, highway, road, path, street
uiburnum	the wayfaring-tree
uicinus1	
uicinus2	
uicissim	on the other hand, on the contrary, again, in turn, back
uictima	a beast for sacrifice, sacrifice, victim
uictrix1	
uictus	
uideo	to see, discern, perceive
uilis	of small price, of little value, purchased at a low rate, cheap
uilla	a country-house, country-seat, farm, villa
uimen	a pliant twig, switch, withe, osier
uinco	to conquer, overcome, get the better of, defeat, subdue, vanquish, be victorious
uinculum	a means of binding, fastening, band, bond, rope, cord, fetter, tie
uinea	a plantation of vines, vine-garden, vineyard; shed for sheltering besieging soldiers
uinitor	a vine-dresser
uinum	wine
uiola	the violet, gillyflower
uir	a male person, adult male, man
uireo2	
uirgo	a maid, maiden, virgin
uirgultum	
uiridis	green
uirtus	manliness, manhood, strength, vigor, bravery, courage, excellence
uita	life
uitis	a vine, grape-vine
uitium	a fault, defect, blemish, imperfection, vice
uitta	a band, fillet, chaplet, headband
uitula	a young cow, heifer
uiuax	
uiuo	
uiuus2	
uix	with difficulty, with much ado, hardly, scarcely, barely
ullus	any, any one
ulmus	an elm, elm-tree
ulna	the elbow
ultimus	farthest, most distant, most remote, uttermost, extreme, last
ultra2	
ultro	to the farther side, beyond, on the other side
ulua	
ulula	a screech-owl
umbra	a shade, shadow
umbraculum	a shady place, bower, arbor
umbrosus	full of shade, rich in shade, shady, umbrageous
umquam	at any time, ever
una	in the same place, at the same time, at once, together
unda	a wave, billow
unde2	
undecimus	the eleventh
undique	from all parts, from every quarter, on all sides, all around, on every part,          everywhere
unus	One, a single
uoco	to call, summon, invoke, call together, convoke
uolo3	a volunteer
uolo?	
uolucris	a bird
uoluo	
uoluptas	satisfaction, enjoyment, pleasure, delight
uos	
uotum	a promise to a god, pledge, religious engagement, vow, wish
uox	a voice, sound, tone, utterance, cry, call
upilius	
urbs	a walled town, city
uro	to burn
usque	all the way, right on, without interruption,  continuously, even
usus	
ut	in order that, so that, when; as; how
ut1	
ut2	that, so that
ut4	
uterque	Sing., each, either, each one, one and the other, one as  well as the other, both (of two regarded severally)
utinam	oh that! I wish that! if only! would to heaven! would that!
uua	a grape, berry of the vine
uuidus	moist, wet, damp, dank, humid
uulgo2	to make public
uulpes	
uultus	facial expression, face
uxor	a wife, spouse, consort
zephyrus	a gentle west wind, western breeze, zephyr
